rate,effective_date,season,min_therms,max_therms,start,end,determinant,charge_type,rate_determinant,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,6/1/2025,7/1/2025,8/1/2025,9/1/2025,10/1/2025,11/1/2025,12/1/2025
empower md,01/01/2026,,,,,,,,per therm,0.0404,0.0404,0.0404,0.0404,0.0404,0.0587,0.0587,0.0587,0.0587,0.0587,0.0587,0.0587
fca,06/01/2026,,,,,,,,per therm,-0.0019,0.0018,0.0023,0.0023,0.0023,0.0048,0.0048,0.0048,0.0059,0.0059,0.0059,0.0033
franchise fee,11/01/2021,,,,,,,,per therm,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041
demand-side management,04/27/2010,,,,,,,,per therm,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001
purchased gas charge,06/01/2026,,,,,,,,per therm,0.5027,0.5705,0.7087,0.812,0.7516,0.5695,0.5206,0.4826,0.4491,0.4399,0.4811,0.5605
distribution,05/01/2024,,,,,45.0,therms,,per therm,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418
distribution,05/01/2024,,,,46.0,180.0,therms,,per therm,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418
distribution,05/01/2024,,,,181.0,,therms,,per therm,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418
revenue normalization adjustment,05/01/2022,,,,,45.0,therms,,per therm,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
revenue normalization adjustment,05/01/2022,,,,46.0,180.0,therms,,per therm,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
revenue normalization adjustment,05/01/2022,,,,181.0,,therms,,per therm,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
system charge,05/01/2024,,,,,,,,per month,11.85,11.85,11.85,11.85,11.85,11.85,11.85,11.85,11.85,11.85,11.85,11.85
stride,04/01/2026,,,,,,,,per month,1.3,1.3,1.3,1.3,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
