utility,year,upstream,distribution_substation,primary_feeder,total_mc
cenhud,2026,0.00,0.00,3.03,3.03
cenhud,2027,0.00,0.07,3.10,3.17
cenhud,2028,0.00,1.80,3.10,4.89
cenhud,2029,0.00,1.80,3.10,4.89
cenhud,2030,0.00,6.08,3.10,9.18
cenhud,2031,0.00,14.13,3.10,17.23
cenhud,2032,0.00,14.13,3.10,17.23
cenhud,2033,11.62,18.10,3.10,32.81
cenhud,2034,11.62,18.10,3.10,32.81
cenhud,2035,11.62,18.10,3.10,32.81
nyseg,2026,0.00,1.37,0.00,1.45
nyseg,2027,0.10,4.37,0.00,4.72
nyseg,2028,1.02,5.47,2.04,9.01
nyseg,2029,4.30,1.64,2.83,9.33
nyseg,2030,14.85,8.51,5.28,30.50
nyseg,2031,10.14,12.34,1.66,25.68
nyseg,2032,16.58,25.66,4.16,49.30
nyseg,2033,11.66,23.20,11.64,49.24
nyseg,2034,19.95,18.34,9.24,50.53
nyseg,2035,19.43,8.20,10.76,40.85
rge,2026,0.00,0.00,0.00,0.00
rge,2027,19.92,14.28,0.00,37.47
rge,2028,16.35,16.41,0.00,35.83
rge,2029,0.00,13.93,15.81,32.02
rge,2030,17.33,11.13,7.23,38.96
rge,2031,12.08,15.60,5.72,36.35
rge,2032,19.71,18.47,10.61,53.15
rge,2033,25.98,27.13,9.86,68.64
rge,2034,23.61,26.74,14.06,70.10
rge,2035,16.02,13.88,13.19,46.86
