year,transmission_nominal,transmission_real,substation_nominal,substation_real,primary_nominal,primary_real,transformer_nominal,transformer_real,secondary_nominal,secondary_real,distribution_nominal,distribution_real,local_total_nominal,local_total_real
2025,7.17,7.17,3.81,3.81,0.14,0.14,0.06,0.06,0.18,0.18,0.38,0.38,4.19,4.19
2026,11.2,10.94,13.69,13.37,0.14,0.14,0.06,0.06,0.18,0.18,0.38,0.38,14.08,13.75
2027,14.39,13.76,24.12,23.07,0.15,0.14,0.06,0.06,0.19,0.18,0.39,0.38,24.51,23.44
2028,17.42,16.32,37.97,35.57,0.15,0.14,0.06,0.06,0.19,0.18,0.4,0.38,38.37,35.95
2029,17.78,16.32,49.54,45.45,0.15,0.14,0.06,0.06,0.19,0.18,0.41,0.38,49.95,45.83
2030,18.16,16.32,63.24,56.83,0.16,0.14,0.06,0.06,0.2,0.18,0.42,0.38,63.66,57.21
2031,18.54,16.32,75.01,66.02,0.16,0.14,0.06,0.06,0.2,0.18,0.43,0.38,75.44,66.4
2032,18.93,16.32,85.37,73.6,0.16,0.14,0.06,0.06,0.21,0.18,0.44,0.38,85.81,73.97
2033,19.32,16.32,91.7,77.43,0.17,0.14,0.07,0.06,0.21,0.18,0.44,0.38,92.15,77.8
2034,19.73,16.32,95.96,79.35,0.17,0.14,0.07,0.06,0.22,0.18,0.45,0.38,96.41,79.73
